year,SeedType,Upset,Region,GameCity,GameState,TopSeed,TopScore,TopGames,TopFG,TopFGA,TopFGPer,Top3P,Top3PA,Top3Per,Top2P,Top2PA,Top2Per,TopPTs,TopOppPTS,TopAST,TopORB,TopDRB,TopPoss,TopTSPer,TopEFGPer,TopTOV,TopTOPer,TopFT,TopFTA,TopFTR,TopORTG,TopDRTG,TopSOS,BotSeed,BotScore,BotGames,BotFG,BotFGA,BotFGPer,Bot3P,Bot3PA,Bot3Per,Bot2P,Bot2PA,Bot2Per,BotPTs,BotOppPTS,BotAST,BotORB,BotDRB,BotPoss,BotTSPer,BotEFGPer,BotTOV,BotTOPer,BotFT,BotFTA,BotFTR,BotORTG,BotDRTG,BotSOS
2001,OneSixteen,0,One,at Greensboro, NC,Duke,95,39,1217,2530,0.481,407,1057,0.385,810,1473,0.481,3538,2750,701,538,967,3461.8,0.595446467,0.561462451,531,0.153388411,697,1002,0.396047431,1.02201167,0.794384424,11.97,Monmouth,52,31,756,1664,0.454,201,570,0.353,555,1094,0.454,2180,2024,439,300,755,2406.2,0.55546496,0.514723558,471,0.195744327,467,678,0.407451923,0.905992852,0.841160336,-8.85
2001,OneSixteen,0,Two,at Memphis, TN,Michigan State,69,33,957,1957,0.489,146,453,0.322,811,1504,0.489,2553,2039,579,514,890,2682.4,0.565113067,0.526315789,451,0.168133015,493,686,0.350536536,0.951759618,0.760140173,9.54,Alabama State,35,31,756,1713,0.441,165,506,0.326,591,1207,0.441,2135,1980,410,386,789,2501.4,0.52866425,0.489492119,510,0.203885824,458,696,0.406304729,0.853522028,0.791556728,-13.61
2001,OneSixteen,0,Three,at Dayton, OH,Illinois,96,35,929,2046,0.454,247,678,0.364,682,1368,0.454,2725,2307,550,479,921,2922,0.55996219,0.514418377,524,0.179329227,620,880,0.430107527,0.932580424,0.789527721,11.38,Northwestern State,54,32,768,1856,0.414,175,551,0.318,593,1305,0.414,2292,2397,392,410,768,2743.8,0.511178118,0.4609375,537,0.195713973,581,877,0.472521552,0.835337853,0.873605948,-7.82
2001,OneSixteen,0,Four,at San Diego, CA,Stanford,89,34,953,1865,0.511,252,587,0.429,701,1278,0.511,2829,2226,568,365,879,2664.2,0.625243113,0.578552279,438,0.164402072,671,903,0.484182306,1.061857218,0.835522859,9.86,North Carolina-Greensboro,60,31,773,1741,0.444,184,480,0.383,589,1261,0.444,2282,2230,414,343,706,2503.2,0.554712872,0.496840896,475,0.189757111,552,718,0.412406663,0.91163311,0.8908597,-5.85
2001,TwoFifteen,0,One,at Uniondale, NY,Kentucky,72,34,988,2051,0.482,245,708,0.346,743,1343,0.482,2713,2400,539,464,847,2864.4,0.569613343,0.541443198,513,0.179095098,492,751,0.366162847,0.947144254,0.837871806,11.06,Holy Cross,68,30,640,1437,0.445,136,388,0.351,504,1049,0.445,2034,1868,385,388,767,2325,0.549551497,0.492693111,512,0.220215054,618,940,0.654140571,0.87483871,0.80344086,-5.84
2001,TwoFifteen,0,Two,at New Orleans, LA,UNC,70,33,945,1972,0.479,189,519,0.364,756,1453,0.479,2611,2341,576,411,952,2807.6,0.562385843,0.527129817,518,0.184499216,532,794,0.402636917,0.92997578,0.833808235,11.77,Princeton,48,27,540,1203,0.449,218,619,0.352,322,584,0.449,1562,1569,383,174,518,1688.2,0.573118469,0.539484622,340,0.201397939,264,363,0.301745636,0.925245824,0.929392252,-1.88
2001,TwoFifteen,0,Three,at Kansas City, MO,Arizona,101,36,1015,2131,0.476,193,544,0.355,822,1587,0.476,2926,2386,585,487,946,3053,0.574943017,0.52158611,546,0.178840485,703,940,0.441107461,0.958401572,0.781526368,12.56,Eastern Illinois,76,31,915,1931,0.474,230,584,0.394,685,1347,0.474,2564,2439,514,359,765,2618,0.578258908,0.533402382,427,0.163101604,504,650,0.336613154,0.979373568,0.931627196,-2.46
2001,TwoFifteen,1,Four,at Boise, ID,Iowa State,57,31,823,1735,0.474,182,436,0.417,641,1299,0.474,2451,2115,429,375,853,2544.4,0.580354606,0.526801153,467,0.183540324,623,856,0.493371758,0.963291935,0.831237227,4.87,Hampton,58,32,850,1846,0.46,200,575,0.348,650,1271,0.46,2471,2246,449,434,809,2669,0.558191018,0.514626219,489,0.183214687,571,835,0.452329361,0.925814912,0.841513676,-10.6
2001,ThreeFourteen,0,One,at Uniondale, NY,Boston College,68,32,879,1934,0.454,230,651,0.353,649,1283,0.454,2547,2129,464,486,680,2672.2,0.558376302,0.513960703,423,0.158296535,559,788,0.407445708,0.95314722,0.796721802,5.18,Southern Utah,65,31,783,1602,0.489,197,493,0.4,586,1109,0.489,2243,2015,462,335,662,2341.2,0.590847786,0.550249688,470,0.200751751,480,673,0.420099875,0.958055698,0.860669742,-3.42
2001,ThreeFourteen,0,Two,at New Orleans, LA,Florida,69,31,849,1764,0.481,256,668,0.383,593,1096,0.481,2509,2081,538,319,826,2519.4,0.597711117,0.553854875,451,0.179010876,555,761,0.431405896,0.995872033,0.825990315,7.51,Western Kentucky,56,31,812,1789,0.454,213,605,0.352,599,1184,0.454,2303,1889,452,441,799,2511.6,0.552129884,0.513415316,453,0.180363115,466,674,0.376746786,0.916945373,0.752110209,-1.65
