"","SeedType","GameST","GameCity","TopSeed","TopST","TopCity","TopTravel","TopGames","TopFG","TopFGA","TopFGPer","Top3P","Top3PA","Top3Per","Top2P","Top2PA","Top2Per","TopPTs","TopOppPTS","TopAST","TopORB","TopDRB","TopPoss","TopTSPer","TopEFGPer","TopTOV","TopTOPer","TopFT","TopFTA","TopFTR","TopORTG","TopDRTG","TopSOS","BotSeed","BotST","BotCity","BotTravel","BotGames","BotFG","BotFGA","BotFGPer","Bot3P","Bot3PA","Bot3Per","Bot2P","Bot2PA","Bot2Per","BotPTs","BotOppPTS","BotAST","BotORB","BotDRB","BotPoss","BotTSPer","BotEFGPer","BotTOV","BotTOPer","BotFT","BotFTA","BotFTR","BotORTG","BotDRTG","BotSOS"
"1","OneSixteen","NC","Charlotte","Virginia","VA","Charlottesville",437.839,33,825,1788,0.461,243,623,0.39,582,1165,0.461,2229,1762,453,277,800,2248.2,0.562049906199,0.529362416107,283,0.125878480562,336,443,0.247762863534676,0.991459834534,0.783738101592,9.7,"UMBC","MD","Baltimore",716.97,34,886,1993,0.445,346,894,0.387,540,1099,0.445,2513,2362,525,338,846,2647.6,0.555737385889,0.531359759157,411,0.155234929748,395,609,0.305569493226292,0.949161504759,0.892128720351,-4.98
"2","EightNine","NC","Charlotte","Creighton","NE","Omaha",1847.403,32,985,1982,0.497,334,889,0.376,651,1093,0.497,2697,2375,576,232,929,2550.4,0.609232687581,0.581231079717,358,0.140370138018,393,526,0.265388496468214,1.05748117942,0.931226474279,8.08,"Kansas State","KS","Manhattan",1738.469,33,854,1809,0.472,229,665,0.344,625,1144,0.472,2388,2240,473,269,741,2431.2,0.575000481575,0.535378662244,379,0.155890095426,451,608,0.336097291321172,0.982230997038,0.921355709115,8.96
"3","FiveTwelve","ID","Boise","Kentucky","KY","Lexington",3148.589,33,895,1908,0.469,178,497,0.358,717,1411,0.469,2532,2318,446,400,883,2665.6,0.558654287429,0.51572327044,432,0.16206482593,564,814,0.426624737945493,0.949879951981,0.869597839136,10.95,"Davidson","NC","Davidson",3770.315,31,856,1763,0.486,336,856,0.393,520,907,0.486,2388,2105,530,212,806,2228.2,0.611893487485,0.580828133863,294,0.131945067768,340,428,0.24276800907544,1.07171708105,0.944708733507,2.06
"4","FourThirteen","ID","Boise","Arizona","AZ","Tuscon",1680.212,34,980,1940,0.505,235,624,0.377,745,1316,0.505,2750,2420,518,341,905,2648.6,0.608202551354,0.565721649485,417,0.157441667296,555,729,0.375773195876289,1.03828437665,0.913690251454,7.22,"Buffalo","NY","Buffalo",3572.786,34,1045,2205,0.474,329,887,0.371,716,1318,0.474,2883,2579,576,407,919,2897.4,0.577052409089,0.548526077098,426,0.147028370263,464,666,0.302040816326531,0.995030026921,0.890108373024,-0.55
"5","SixEleven","TX","Dallas","Miami(FL)","FL","Miami",2108.756,31,850,1832,0.464,243,669,0.363,607,1163,0.464,2299,2109,413,309,771,2396.6,0.556130742733,0.530294759825,351,0.146457481432,354,534,0.291484716157205,0.959275640491,0.879996661938,7.15,"Loyola-Chicago","IL","Chicago",1490.167,33,869,1714,0.507,246,618,0.398,623,1096,0.507,2390,2054,519,209,858,2342.4,0.609432692112,0.578763127188,404,0.172472677596,406,561,0.32730455075846,1.02032103825,0.876878415301,-0.27
"6","ThreeFourteen","TX","Dallas","Tennessee","TN","Knoxville",1356.62,32,810,1835,0.441,249,648,0.384,561,1187,0.441,2377,2114,508,367,793,2497.2,0.557687976275,0.509264305177,393,0.157376261413,508,673,0.366757493188011,0.951866090021,0.84654813391,10.59,"Wright State","OH","Dayton",1587.985,34,854,1959,0.436,233,682,0.342,621,1277,0.436,2453,2234,451,346,889,2690.6,0.539557268296,0.495405819296,446,0.165762283506,512,714,0.364471669218989,0.91169255928,0.830298074779,-4.41
"7","SevenTen","TN","Nashville","Nevada","NV","Reno",3448.423,34,963,2056,0.468,330,830,0.398,633,1226,0.468,2825,2478,559,320,905,2698.8,0.590687832458,0.548638132296,338,0.125240847784,569,762,0.370622568093385,1.04676152364,0.918185860382,4.35,"Texas","TX","Austin",1382.586,33,851,1943,0.438,234,742,0.315,617,1201,0.438,2367,2251,381,349,826,2591,0.531480150889,0.498198661863,390,0.15052103435,431,645,0.331960885229027,0.913546893091,0.868776534157,10.93
"8","TwoFifteen","TN","Nashville","Cincinnati","OH","Cincinnati",440.631,33,873,1926,0.453,244,681,0.358,629,1245,0.453,2476,1888,535,435,855,2584.4,0.553508834681,0.516614745587,376,0.145488314502,486,706,0.36656282450675,0.958056028479,0.730537068565,3.15,"Georgia State","GA","Atlanta",401.541,33,891,1924,0.463,307,795,0.386,584,1129,0.463,2487,2227,443,290,835,2538.8,0.569243023511,0.542879417879,378,0.148889239011,398,592,0.307692307692308,0.979596659839,0.87718607216,-3.4
"9","OneSixteen","TN","Nashville","Xavier","OH","Cincinnati",440.631,33,953,1942,0.491,258,699,0.369,695,1243,0.491,2781,2458,549,322,945,2664.4,0.608363521814,0.557157569516,410,0.153880798679,617,781,0.40216271884655,1.04376219787,0.922534154031,9.86,"NC Central","NC","Durham",829.802,34,928,1991,0.466,212,626,0.339,716,1365,0.466,2474,2361,535,393,900,2707.4,0.549523775677,0.519337016575,480,0.177291866736,406,591,0.296835760924159,0.9137918298,0.872054369506,-12.29
"10","OneSixteen","TN","Nashville","Xavier","OH","Cincinnati",440.631,33,953,1942,0.491,258,699,0.369,695,1243,0.491,2781,2458,549,322,945,2664.4,0.608363521814,0.557157569516,410,0.153880798679,617,781,0.40216271884655,1.04376219787,0.922534154031,9.86,"Texas Southern","TX","Houston",1254.181,34,878,1989,0.441,266,732,0.363,612,1257,0.441,2640,2711,417,350,879,2761,0.557573709555,0.508295625943,428,0.155016298443,618,860,0.432378079436903,0.956175298805,0.981890619341,-5.83
"11","EightNine","TN","Nashville","Missouri","MO","Columbia",694.939,32,778,1716,0.453,298,775,0.385,480,941,0.453,2345,2179,435,327,862,2435.8,0.583484284492,0.54020979021,453,0.185975860087,491,667,0.388694638694639,0.962722719435,0.89457262501,9.36,"Florida State","FL","Tallahassee",788.577,31,906,1912,0.474,248,706,0.351,658,1206,0.474,2535,2309,473,363,816,2591.4,0.571966209996,0.53870292887,403,0.155514393764,473,691,0.361401673640167,0.978235702709,0.891024156826,7.69
